CH Name,D_정면,D_측면,D_1R,D_2R,D_3R,S_정면,S_측면,S_1R,S_2R,S_3R,aa,bb,dd,cc,gg,hh,rr,ee,ww,ll
CH No.,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26
1,0.5,1.2,1.1,0.3,0.9,1.1,0.6,1.2,0.7,0.8,360,360,120,360,360,360,360,360,120,120
2,0.5,1.1,1,0.3,0.7,0.9,0.5,1.1,0.6,0.7,360,360,360,360,360,360,360,360,120,120
3,0.6,1.3,1.3,0.3,0.9,1.1,0.7,1.4,0.9,1,360,360,120,360,360,360,360,360,120,120
4,0.5,1.1,1,0.2,0.8,1,0.5,1.1,0.7,0.8,360,360,120,360,120,360,360,120,120,120
5,0.9,2,2,0.4,1.4,1.9,1.1,2.2,0.9,1.2,120,120,120,120,120,120,120,120,120,120
6,0.5,1,0.9,0.2,0.8,0.9,0.5,1,0.6,0.8,120,120,120,120,120,120,120,120,120,120
7,0.5,1,1,0.3,0.8,0.9,0.6,1.1,0.6,0.7,120,120,120,120,120,120,120,120,120,120
8,0.5,1,0.9,0.2,0.7,0.9,0.5,1,0.6,0.8,120,120,120,120,120,120,120,120,120,120
9,0.5,1,1,0.2,0.7,1,0.6,1.1,0.6,0.7,120,120,120,120,120,120,120,120,120,120
10,0.4,0.9,0.8,0.3,0.7,0.8,0.5,0.9,0.6,0.7,120,120,120,360,120,120,120,120,120,120
11,0.5,1.1,1,0.3,0.8,0.9,0.5,1.1,0.7,0.7,360,360,120,360,360,360,360,360,120,120
12,0.5,1,1,0.3,0.8,0.9,0.6,1,0.7,0.7,360,360,360,360,360,360,360,360,120,120
13,0.5,1,0.9,0.2,0.8,1,0.5,1,0.6,0.7,360,360,360,360,360,360,360,360,120,120
14,0.5,1,1,0.3,0.7,1,0.6,1.1,0.6,0.7,360,360,360,4,360,360,360,360,120,120
15,0.4,0.9,0.9,0.3,0.7,0.9,0.5,1,0.6,0.7,360,360,120,360,360,360,360,360,120,120
16,0.5,1.1,1,0.3,0.8,1,0.5,1.1,0.6,0.7,360,360,120,360,360,360,360,360,120,120
17,0.4,1,0.9,0.2,0.7,0.8,0.5,0.9,0.6,0.7,360,360,120,360,360,360,360,360,120,120
18,0.5,1,1,0.2,0.8,0.9,0.6,1.1,0.8,0.7,360,360,360,360,360,360,360,360,120,120
19,0.4,0.9,0.8,0.3,0.6,0.8,0.5,0.9,0.6,0.7,360,360,120,120,360,360,360,120,120,120
20,0.4,1,0.9,0.2,0.7,0.9,0.5,0.9,0.6,0.7,360,360,120,120,120,360,360,120,120,120
21,0.4,0.9,0.9,0.2,0.6,0.8,0.4,1,0.6,0.7,120,120,120,120,120,120,120,120,120,120
22,0.6,1.2,1.1,0.2,0.9,1.1,0.6,1.2,0.6,0.7,360,360,120,120,360,360,360,360,120,120
23,0.5,0.8,0.8,0.2,0.6,0.8,0.5,0.9,0.6,0.7,120,120,120,120,120,120,120,120,120,120
24,0.3,0.9,0.9,0.3,0.6,0.8,0.5,0.9,0.6,0.7,120,120,120,120,120,120,120,120,120,120
25,0.4,0.9,0.8,0.3,0.6,0.7,0.5,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,120
26,0.4,0.8,0.7,0.2,0.6,0.8,0.5,0.8,0.6,0.6,120,120,120,120,120,120,120,120,120,120
27,0.4,0.7,0.6,0.3,0.5,0.7,0.5,0.8,0.6,0.6,120,120,120,9,120,120,120,120,120,240
28,0.4,0.8,0.8,0.2,0.6,0.7,0.5,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,240
29,0.4,0.9,0.8,0.2,0.6,0.7,0.5,0.8,0.6,0.6,120,120,120,120,120,120,120,120,120,120
30,0.4,0.8,0.8,0.2,0.5,0.8,0.5,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,120
31,0.4,0.8,0.7,0.2,0.6,0.7,0.4,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,120
32,0.4,0.8,0.7,0.2,0.6,0.7,0.4,0.8,0.5,0.6,120,120,120,120,120,120,120,120,120,120
33,0.4,0.9,0.8,0.2,0.6,0.8,0.5,0.9,0.6,0.7,120,120,120,120,120,120,120,120,120,120
34,0.4,0.8,0.7,0.2,0.5,0.7,0.5,0.7,0.5,0.7,120,120,120,120,120,120,120,120,120,120
35,0.3,0.9,0.7,0.3,0.5,0.7,0.5,0.8,0.5,0.7,120,120,120,120,120,120,120,120,120,120
36,0.4,0.8,0.7,0.2,0.6,0.7,0.5,0.8,0.6,0.7,120,120,120,120,120,120,120,120,120,120
37,0.4,0.8,0.7,0.2,0.6,0.8,0.5,0.8,0.6,0.6,120,120,120,10,120,120,120,120,120,120
38,0.4,0.8,0.7,0.3,0.6,0.7,0.5,0.8,0.5,0.6,120,120,120,120,120,120,120,120,120,120
39,0.4,0.8,0.7,0.2,0.6,0.7,0.5,0.8,0.6,0.6,120,120,120,120,120,120,120,120,120,120
40,0.4,0.7,0.8,0.2,0.6,0.7,0.5,0.9,0.5,0.6,120,120,120,120,120,120,120,120,120,120
41,0.4,0.8,0.8,0.2,0.6,0.8,0.5,0.8,0.5,0.6,120,120,120,120,120,120,120,120,120,120
42,0.3,0.8,0.8,0.2,0.6,0.7,0.4,0.8,0.6,0.6,120,120,120,120,120,120,120,120,120,120
43,0.5,1,0.9,0.2,0.6,0.8,0.5,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
44,0.4,0.9,0.8,0.2,0.7,0.8,0.4,0.8,0.6,0.6,120,120,120,120,120,120,120,120,120,120
45,0.5,0.9,0.8,0.2,0.7,0.8,0.6,0.9,0.6,0.7,120,120,120,120,120,120,120,120,120,120
46,0.5,0.9,0.9,0.3,0.7,0.9,0.6,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
47,0.5,0.9,0.9,0.2,0.7,0.9,0.5,0.9,0.6,0.7,120,120,120,120,120,120,120,120,120,120
48,0.4,0.9,0.9,0.2,0.6,0.9,0.5,1,0.7,0.6,120,120,120,120,120,120,120,120,120,120
49,0.4,1,0.8,0.2,0.7,0.8,0.5,0.8,0.6,0.7,120,120,120,120,120,120,120,120,120,120
50,0.5,0.9,0.8,0.3,0.6,0.8,0.5,0.8,0.6,0.6,120,120,120,120,120,120,120,120,120,120
51,0.5,0.9,0.9,0.2,0.6,0.9,0.6,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,120
52,0.5,1,1,0.2,0.7,0.9,0.5,1,0.6,0.7,120,120,120,120,120,120,120,120,120,120
53,0.4,1,0.9,0.2,0.7,0.8,0.4,0.9,0.5,0.7,120,120,120,120,120,120,120,120,120,120
54,0.5,1,0.9,0.2,0.7,1,0.5,1,0.6,0.7,120,120,120,120,120,120,120,120,120,120
55,0.4,1,0.9,0.2,0.7,0.9,0.5,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
56,0.5,0.9,0.9,0.2,0.7,0.9,0.5,1,0.6,0.7,120,120,120,120,120,120,120,120,120,120
57,0.5,1,0.9,0.2,0.7,1,0.5,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
58,0.4,1,0.9,0.3,0.7,0.9,0.5,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
